Материал,Класс,Грузополучатель,reciever_lat,reciever_long
770000808622,G21050101,20001383,56.7658,105.6483
770000905446,G21050101,20001383,56.7658,105.6483
770000905414,G21050101,20001383,56.7658,105.6483
770000244012,G21050101,20001383,56.7658,105.6483
770000677830,G21050101,20001383,56.7658,105.6483
770000246491,G21050101,20001383,56.7658,105.6483
770000852476,G21050101,20001383,56.7658,105.6483
770000851213,G21050101,20001383,56.7658,105.6483
770000657987,G21050101,20001383,56.7658,105.6483
770000657931,G21050101,20001383,56.7658,105.6483
770000246509,G21050101,20001383,56.7658,105.6483
770000919604,G2110,20001294,65.9175552,78.1970554
770000221234,G2110,20001294,65.9175552,78.1970554
770000623247,G2110,20001294,65.9175552,78.1970554
770000136533,G210516,20000734,53.3267225,50.3051858
770000158483,G210516,20000734,53.3267225,50.3051858
770000283200,G210516,20000734,53.3267225,50.3051858
770000044449,G210516,20000734,53.3267225,50.3051858
770000874977,G2107,20000537,66.6615094,66.3810869
770000244016,G21050101,20000734,53.3267225,50.3051858
770000581869,G210511,20001295,66.8811,79.4907
770000875286,G21050101,20001295,66.8811,79.4907
770000905448,G21050101,20001295,66.8811,79.4907
770000924819,G21040101,20001295,66.8811,79.4907
770000784552,G21050102,20000447,52.3445327,84.4583842
770000849743,G21050102,20000447,52.3445327,84.4583842
770000294667,G21050102,20000447,52.3445327,84.4583842
770000605587,G21050102,20000447,52.3445327,84.4583842
770000849911,G210502,20000447,52.3445327,84.4583842
770000131384,G210512,20000734,53.3267225,50.3051858
770000474116,G210516,20000734,53.3267225,50.3051858
770000852503,G21050101,20001383,56.7658,105.6483
770000903621,G2110,20001383,56.7658,105.6483
770000848345,G2110,20001383,56.7658,105.6483
1173559,G210511,20000511,63.1667,75.6167
1173559,G210511,20000447,52.3445327,84.4583842
770000242867,G21050102,8536,55.00907075000001,73.29768400924007
770000263073,G21050102,8536,55.00907075000001,73.29768400924007
770000864284,G21050102,24446,43.3620656,132.8319624
770000015118,G21050102,24446,43.3620656,132.8319624
770000864281,G21050102,24446,43.3620656,132.8319624
770000864275,G21050102,24446,43.3620656,132.8319624
770000863929,G21050102,24446,43.3620656,132.8319624
770000864277,G21050102,24446,43.3620656,132.8319624
770000165652,G21050301,20001633,66.0833,76.6333
770000606931,G2106,20001633,66.0833,76.6333
770000833052,G2106,20001633,66.0833,76.6333
770000607786,G2106,20001633,66.0833,76.6333
770000644091,G2106,20001633,66.0833,76.6333
770000607790,G2106,20001633,66.0833,76.6333
770000607773,G2106,20001633,66.0833,76.6333
770000534255,G2106,20001633,66.0833,76.6333
770000853301,G2106,20001633,66.0833,76.6333
770000853304,G2106,20001633,66.0833,76.6333
770000853303,G2106,20001633,66.0833,76.6333
770000853297,G2106,20001633,66.0833,76.6333
