Материал,Класс,Поставщики
770000011614,G210502,"['104795', '51983', '58060', '94990', '104735']"
770000011628,G210512,"['59541', '47772', '58691']"
770000011631,G210512,"['59541', '47772', '58691']"
770000011636,G21050102,"['67598', '54948', '58857', '22722', '76925', '47772', '66005']"
770000011640,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000011641,G21050102,"['63104', '59541', '86311', '97586', '58691', '52095', '76120', '25890', '83996', '47772', '60519', '66005', '40661']"
770000011648,G21050102,"['104795', '104734', '51983', '94401', '104735']"
770000011669,G21050102,"['75815', '76338', '73483', '62488', '73073', '104734', '51983', '74896', '83996', '76925', '47772', '94401', '74111']"
770000011882,G210502,"['59541', '73022', '58691', '52095', '61448', '76925', '47772', '103322']"
770000011900,G210502,"['105167', '76993', '81659']"
770000012072,G21050102,"['59541', '58691', '52095', '61448', '47772']"
770000012081,G210511,"['89499', '111892', '94401']"
770000012082,G210511,"['94401', '104734', '51983']"
770000012563,G2106,['50642']
770000013090,G21050102,"['48185', '77171', '61506', '73668', '74111']"
770000014402,G210511,"['59541', '47772', '60519']"
770000014623,G21050102,"['52095', '66005']"
770000014740,G21050102,['52095']
770000014856,G210470,['92706']
770000015094,G210502,"['104795', '59541', '58691', '51983', '61448', '58060', '94990', '47772', '104735', '83996', '76925', '52095', '60519', '66005', '40661', '103322']"
770000015098,G210502,"['59541', '73082', '58691', '52095', '61448', '94990', '76120', '83996', '76925', '47772', '60519', '66005', '103322']"
770000015099,G210502,"['104795', '97586', '58691', '54948', '51983', '58060', '94990', '66005', '40661', '104735']"
770000015101,G210502,"['47772', '25890']"
770000015102,G210502,"['75815', '62488', '58691', '52095', '109173', '58857', '61448', '72164', '108667', '76925', '47772', '66005', '40661']"
770000015105,G210502,"['58691', '58857', '94990', '83996', '52095', '60519', '66005']"
770000015118,G21050102,"['63104', '59541', '94401', '58691', '52095', '61448', '72631', '25890', '108667', '76925', '47772', '60519', '66005']"
770000015232,G21050102,"['59541', '58691', '61448', '76925', '47772']"
770000015241,G21050102,"['47772', '94401']"
770000015699,G21050102,"['59541', '58691', '52095', '61448', '47772']"
770000015700,G21050102,"['59541', '58691', '52095', '61448', '47772']"
770000015701,G21050102,"['59541', '58691', '52095', '61448', '47772']"
770000015703,G210502,"['58691', '52095', '108667', '76925', '47772', '66005', '40661']"
770000015704,G210502,"['59541', '58691', '52095', '61448', '108667', '76925', '47772', '66005']"
770000015828,G21050101,"['59541', '60199', '47772', '58691']"
770000015844,G21040101,"['62488', '83996', '72222']"
770000015910,G21050102,"['59541', '47772', '60519', '76120']"
770000015911,G210502,"['59541', '60519', '76120']"
770000015912,G210502,"['63104', '59541', '76120', '72148', '47772', '60519']"
770000016714,G210502,"['63104', '60199', '59541', '86311', '95672', '58691', '60519', '83996', '47772', '76120', '73082', '72148', '52095', '25890', '66005', '40661']"
770000016728,G21050102,"['75815', '62488', '58691', '109173', '58857', '61448', '72164', '47772']"
770000016729,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772', '60519', '103322']"
770000016739,G2106,"['63104', '69418', '59541', '68377', '58464', '70503', '61506', '72631', '83996', '72148', '75551', '94293', '40661']"
770000016740,G2106,"['58691', '54948', '66005', '40661']"
770000016746,G21050102,['52095']
770000016749,G210502,"['58691', '108667', '76925', '52095', '66005', '40661']"
770000016769,G21050102,"['58691', '54948', '108667', '66005', '40661']"
770000016770,G210502,"['59541', '58691', '104143', '60519', '58857', '94990', '47772', '52095', '25890', '66005', '40661']"
770000016772,G210502,"['58857', '47772', '58691', '94990']"
770000016773,G21050301,"['69418', '27645', '44114', '58691', '104143', '83996', '76925', '37846', '66005', '40661']"
770000016780,G210511,"['94401', '104734', '51983']"
770000016786,G21050102,['26250']
770000017375,G21050102,['52095']
770000017383,G21050102,"['104795', '51983', '58060', '94990', '104735']"
