Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
42298.0,1154205,Кабель гибкий КГ-ХЛ 4х4,КМ,0.3,7,2020,2,2020-07-03,20001638.0,161676.0,Конкурентный отбор,10949040,420,2020-03-05,11
42298.0,1167469,Наконечник 25-8-7-М-УХЛ3,ШТ,700.0,6,2020,1,2020-06-30,20001638.0,24.18,Конкурентный отбор,10949040,440,2020-03-05,11
42298.0,1173460,Провод неизолированный гибкий ПЩ 6,Т,0.04,7,2020,2,2020-07-03,20001638.0,1576800.0,Конкурентный отбор,10949040,490,2020-03-05,11
42298.0,770000618694,Провод ПуГВ 1х4 З-Ж,КМ,0.1,7,2020,2,2020-07-03,20001638.0,29676.0,Конкурентный отбор,10949040,500,2020-03-05,11
58553.0,770000842727,"Кабель судовой КНР 3х2,5",КМ,0.35,7,2020,2,2020-07-10,24376.0,156097.2,,10951478,20,2020-03-12,11
8536.0,1247416,Кабель греющий 8XTV2-CT Raychem/325059,КМ,1400.0,7,2020,2,2020-07-18,20000052.0,1109.39,,10953938,110,2020-03-20,11
8536.0,1247418,Кабель греющий 12XTV2-CT Raychem/427089,КМ,2000.0,7,2020,2,2020-07-18,20000052.0,1145.1,,10953938,120,2020-03-20,11
8536.0,1247419,Кабель греющий 15XTV2-CT Raychem/214999,КМ,2200.0,7,2020,2,2020-07-18,20000052.0,1190.38,,10953938,130,2020-03-20,11
8536.0,770000017530,Кабель греющий 4XTV2-CT Raychem/002735,КМ,500.0,7,2020,2,2020-07-18,20000052.0,1067.59,,10953938,140,2020-03-20,11
8536.0,770000737916,Кабель греющий 20XTV2CTT2 Raychem/849015,КМ,200.0,7,2020,2,2020-07-18,20000052.0,1233.91,,10953938,2590,2020-03-20,11
24446.0,770000881596,Кабель ТОФЛЕКС КУЭаВЭаВнг(А)-LS 2х2х1-66,КМ,0.41,7,2020,2,2020-07-17,24446.0,169471.01,,10957056,110,2020-03-27,11
24446.0,770000882745,"Кабель ЭПОКС-МВЭфВЭфзнг(А)-LS 4х2х1,0",КМ,0.255,7,2020,2,2020-07-17,24446.0,264002.4,,10957056,120,2020-03-27,11
24446.0,770000881586,"Кабель ВВГнг(А)-LS 2х1,5ок(N)-1",КМ,0.55,7,2020,2,2020-07-17,24446.0,39035.38,,10957056,130,2020-03-27,11
59.0,770000473255,Муфта 3СТп-10-150/240,ШТ,10.0,9,2020,2,2020-09-26,20000221.0,7188.0,,10948813,320,2020-03-04,12
59.0,770000456499,Муфта концевая 3СТп-10-70/120,ШТ,2.0,9,2020,2,2020-09-26,20000221.0,6828.0,,10948813,330,2020-03-04,12
59.0,1167413,Наконечник 16-6-6-М-УХЛ3,ШТ,30.0,9,2020,2,2020-09-16,20000221.0,31.2,,10948813,340,2020-03-04,12
